"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
-0.691133179749495,-0.37988953608608,-0.092700723484717,0.120999398342517,-0.0246891218012975,0.140933528895472,-0.0466469916169128,-0.0638896989385049,0.0198477397193421,0.175431079777103
-0.821772884928749,-0.383123696399565,-0.304222181095929,-0.118901553232836,0.115366522141151,0.206900385198639,-0.00996398344883365,-0.107455087189118,0.0253927828553671,0.0798281209205908
-0.431415719471181,-0.202733696149579,-0.120519789480296,0.177315516492055,0.339554008542825,0.435498253154266,0.247894411292185,0.0280328293114458,0.0530005520879339,0.157060341734388
-0.288950139529659,-0.0210322052759193,0.289260836518726,0.45216565096929,0.594776531394208,0.612540780888571,0.453341155377233,0.301158774975279,0.228594983896424,0.251441811606988
0.0168396549692847,0.170459159134243,0.491615588624265,0.638907339062456,0.616348221524037,0.681264781852833,0.62136011863929,0.467534859160371,0.277604780712069,0.361772861796973
0.350114864557469,0.315431811028471,0.507044997976711,0.665890727342939,0.627314979814752,0.687270428660806,0.682188041268054,0.59495062638829,0.570881508792855,0.454468048001537
0.257040823459936,0.490169588943707,0.599413192182229,0.698753385020521,0.67558916369944,0.68281313939242,0.601351597204929,0.573410398790891,0.394255074358933,0.467520604704019
0.466865032109777,0.54964710251808,0.68468832841953,0.792995503187367,0.680382620980232,0.591122805140786,0.49989376080577,0.44904614720264,0.375913235496633,0.523594750854952
0.666133534684026,0.71510833850074,0.64882506735849,0.763812593051536,0.759675052499325,0.668572346092572,0.533625120359327,0.424829221781557,0.342029432214434,0.421808412737803
0.7564786608051,0.743737727616105,0.758142747256594,0.786865294226577,0.672289126943314,0.534136394980681,0.364588286753925,0.351694068598353,0.297779656423812,0.342928574419113
0.753127263723522,0.716155125812146,0.683330516766388,0.680279947021019,0.535279956809106,0.426259144476185,0.315614569275086,0.233657945169022,0.266162382616017,0.318245077847295
0.646346989326932,0.713414245849985,0.616901331994708,0.626799387085794,0.453708969277928,0.33765333835022,0.206970837012742,0.215060130627642,0.186554141592485,0.303405287061725
